Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
haver obter informação presencial,cancelamento,cancelamento disponível em o unidade,Contato,haver obter informação presencial,b-serviço b-atendimento,confuso,contato
horário verificar,serviço y,serviço y levar documento b.,Contato,horário verificar,b-doc b-doc,urgente,contato
telefone solicitar,serviço y,cancelar contato por o portal,Documentação,telefone solicitar,b-tempo b-serviço,confuso,documentação
encontrar informação cadastrar,serviço y,horário serviço y 8h a o 18h,Informações,encontrar informação cadastrar,b-serviço b-tempo b-tempo,neutro,informação
preciso ajuda obter informação,emergência,precisar ajuda atendente a o disposição,Informações,preciso ajudar obter informação,b-atendimento b-doc b-serviço,urgente,informação
haver agendar presencial,informação,contato por o xx xxxx-xxxx,Informações,haver agendar presencial,b-atendimento,urgente,informação
obter informação verificar,serviço x,cancelar contato por o portal,Informações,obter informação verificar,b-atendimento b-atendimento,neutro,informação
documento necessário agendar,encaminhamento,encaminhamento levar documento b.,Contato,documento necessário agendar,b-doc b-serviço b-doc,frustrar,contato
preciso ajuda verificar,serviço x,caso emergência dirijar se a o atendimento presencial,Documentação,preciso ajudar verificar,b-doc b-serviço,frustrar,documentação
haver cadastrar presencial,cancelamento,contato por o xx xxxx-xxxx,Cancelamento,haver cadastrar presencial,b-doc,neutro,cancelamento
agendar atendimento,agendamento,agendamento disponível em o unidade,Informações,agendar atendimento,b-serviço b-tempo b-tempo,neutro,informação
haver cadastrar presencial,informação,horário informação 8h a o 18h,Contato,haver cadastrar presencial,b-tempo,urgente,contato
obter informação verificar,agendamento,cancelar contato por o portal,Emergência,obter informação verificar,b-tempo b-atendimento,neutro,emergência
preciso ajuda agendar,agendamento,cancelar contato por o portal,Informações,preciso ajudar agendar,b-atendimento b-atendimento,neutro,informação
documento necessário cadastrar,serviço y,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário cadastrar,b-serviço b-tempo b-doc,urgente,encaminhamento
documento necessário consultar,informação,caso emergência dirijar se a o atendimento presencial,Informações,documento necessário consultar,b-atendimento b-tempo b-doc,neutro,informação
obter informação obter informação,serviço y,serviço y levar documento b.,Documentação,obter informação obter informação,b-serviço b-serviço b-tempo,neutro,documentação
encontrar informação consultar,serviço y,serviço y acer portal serviço,Informações,encontrar informação consultar,b-atendimento b-atendimento b-tempo,frustrar,informação
verificar atendimento,serviço x,caso emergência dirijar se a o atendimento presencial,Informações,verificar atendimento,b-doc b-tempo b-tempo,urgente,informação
documento necessário verificar,serviço x,serviço x levar documento b.,Encaminhamento,documento necessário verificar,b-tempo b-tempo b-serviço,neutro,encaminhamento
cancelar atendimento,informação,informação levar documento b.,Documentação,cancelar atendimento,b-tempo b-atendimento,confuso,documentação
documento necessário cadastrar,serviço y,encontrar informação serviço y site,Informações,documento necessário cadastrar,b-doc b-serviço b-atendimento,neutro,informação
consultar atendimento,cancelamento,cancelamento disponível em o unidade,Encaminhamento,consultar atendimento,b-atendimento b-atendimento b-serviço,neutro,encaminhamento
obter informação atendimento,informação,informação levar documento b.,Cancelamento,obter informação atendimento,b-atendimento b-tempo b-doc b-tempo,frustrar,cancelamento
caso emergência,informação,encontrar informação informação site,Encaminhamento,caso emergência,b-serviço b-doc b-atendimento,confuso,encaminhamento
